Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
AWS Certified Cloud Practitioner (CLF-C02) Cert Prep: 3 Cloud Technology and Services,"Cloud Computing continues to be a dominant platform, but documentation and resources for using AWS can be rife with technical jargons and concepts that are challenging for people without technical backgrounds to understand. In this introductory course, Hiroko Nishimura, AWS Community Hero and founder of <a href=""https://awsnewbies.com/about/"" target=""_blank"">AWS Newbies</a>, gets you up to speed on the benefits of cloud computing and AWS, while helping you prepare for the Cloud Technology and Services domain of the AWS Certified Cloud Practitioner (CFL-C02) exam. Learn about deploying and operating in AWS Cloud. Explore compute, storage, database, and network services. Dive into AI, machine learning, and analytic services. Plus, learn how to use the management tools available to you in AWS.",Course,2025-02-06 17:37 UTC,2025-02-06 17:26 UTC,true,N/A,
Cybersecurity Awareness: Ransomware,"<p>Are you looking to learn more about ransomware, the new face of cybercrime and extortion? In this course—part of the larger LinkedIn Learning Cybersecurity Awareness learning path—join award-winning cybersecurity leader and podcaster Nicole Dove for an overview of ransomware, its impact on businesses, and how to defend your company from attacks.</p><p>Help protect your organization like a pro, regardless of your technical background or current role, following expert advice from Nicole as she outlines some of the most common tactics used to deliver a compromising attack. Explore the basic elements of ransomware attacks, why cybercriminals prefer ransomware, a few notable examples of attacks, and how they’ve evolved in scope over time.</p>",Course,2024-04-12 13:54 UTC,N/A,true,N/A,
Ableton Live 12 Essential Training,"Do you work in audio recording, loop-based songwriting, or synth and sound design? In this course, music professor Rick Schmunk walks you through a variety of ways you can use Ableton Live 12 in your workflows. Rick shows you how to set up your system and use the Ableton Live user interface. He explains how to work with the browser, the Arrangement view, and the Session view. After going over how to use the MIDI Editor, how to record and edit audio, and how to work with arrangements, Rick covers plug-ins, effects racks, the live mixer, and mapping. Then he demonstrates how to make your life easier by automating graphics, editing, and clips, including real-time automation. Rick concludes with some practical advice on managing your files.",Course,2025-02-12 09:10 UTC,N/A,false,N/A,
IT Security Foundations: Operating System Security,"Many attacks target the operating system, which makes OS-level security just as important to your organization as network security. In this course, instructor Lisa Bock details what’s actually involved in securing an operating system, whether you’re using Windows, macOS, or Linux. Lisa reviews user authentication, the structure of Active Directory, and how to assign permissions and create audit policies. In addition, she covers various cryptographic techniques, as well as how to protect servers and email.",Course,N/A,N/A,true,N/A,
The Practicing Photographer,"<p>In <i>The Practicing Photographer</i>, photographer and teacher Ben Long shares a weekly serving of photographic instruction and inspiration. Each installment focuses on a photographic shooting scenario, a piece of gear, or a software technique. Each one concludes with a call to action designed to inspire you to pick up your camera (or your mouse or smartphone) to try the technique for yourself.</p><p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.</p>",Course,2025-02-19 10:42 UTC,N/A,false,N/A,
Advanced Cyber Threat Intelligence,"<p>Do you want to take your cyber threat intelligence skills to the next level so you can better protect your organization? In this advanced cyber threat intelligence course, learn to leverage existing data sources, reduce false positives, and use models like the Cyber Kill Chain and the MITRE ATT&CK framework to structure your analysis. Go over internal data acquisition, as well as external, private, community, and public data sources, and learn how to leverage OSINT. Explore data processing, including common CTI standards, storage, integration, and threat intelligence platforms. Get a thorough introduction to analysis with Cyber Kill Chain, the diamond model, and the courses of action matrix. Explore campaign analysis and attribution. Plus, dive into dissemination and tactical, operational, and strategic intelligence.</p>

<p>This course was created by Cybrary. We are pleased to host this training in our library.</p>",Course,N/A,N/A,true,N/A,
Cybersecurity Foundations,"<p>Set a rock-solid foundation for your network, users, and data by learning about the basics of cybersecurity. Join security expert Malcolm Shore as he describes how to assess and mitigate risks using various cybersecurity frameworks and control standards, such as NIST and COBIT.</p>
 
<p>Malcolm details pertinent cyber threats and how they operate, including how cyber criminals hide their attacks, how advanced persistent threats work, and even how to determine what's real and what's merely cyber fear, uncertainty, and doubt (FUD). He also covers the way in which cyber risk is managed and the lifecycle of cybersecurity—from managing defense through to preparing for and responding to an incident. And since cybersecurity has taken on an increasingly visible global dimension, Malcolm concludes the course with a discussion of international cyber norms and protocols.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-cybersecurity-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-02-17 18:43 UTC,2025-02-17 14:21 UTC,true,N/A,
Introducción a las habilidades profesionales en el desarrollo de software,"¿Está preparado para dar el primer paso en tu viaje por la programación informático? Tal vez quieras conseguir un nuevo trabajo o cambiar de profesión a un sector diferente. Sea cual sea tu objetivo, no necesitas una formación tecnológica para empezar a programar hoy mismo. En este curso, la instructora Annyce Davis te ofrece una visión completa, entre bastidores, de lo que realmente es trabajar en programación, desde los conceptos básicos y las habilidades profesionales fundamentales, hasta el aterrizaje de tu primer trabajo y el desarrollo de tu carrera.<br><br>Descubre el poder de la informática en proyectos y funciones técnicas mientras te preparas para el examen de certificación de Microsoft GSI Programming Foundations. Descubre cómo es una semana en la vida de un programador que trabaja en desarrollo de software. Explora las herramientas del oficio y varios lenguajes de programación con un curso intensivo de Python, un lenguaje de programación orientado a objetos que es amigable para los principiantes y fácil de usar. Al terminar este curso, estarás listo para reescribir tu currículum y empezar a buscar trabajo hoy mismo.

</p><p>Este curso es parte de un <a href=""https://www.linkedin.com/learning/paths/fundamentos-profesionales-del-desarrollo-de-software-por-microsoft-y-linkedin"" target=""_blank"">certificado profesional de Microsoft.</a></p>",Course,2024-06-03 12:06 UTC,N/A,false,N/A,
Ethical Hacking: SQL Injection,"SQL injections are a common way to gain unauthorized access to web applications and extract data from them. In this course, instructor Malcolm Shore shows you the SQL command language and how it is used by attackers to craft SQL Injections. Malcolm begins with commonly encountered relational databases and the basics of the SQL command language. Then he focuses on advanced SQL commands that may be used by attackers to achieve SQL injections. Malcolm explains how to use a simple Python script and how an SQL injection changes the backend SQL query. Then he demonstrates how SQL injections could be used to exploit some testing targets.  Malcolm steps through the process of automating SQL injection exploits, then finishes with advice on how to continue to hone your skills as a penetration tester.",Course,2025-09-19 12:26 UTC,N/A,false,N/A,
Azure Database Administrator Associate (DP-300) Cert Prep: 3 High Availability and Disaster Recovery in Azure Data Services,"Passing the Microsoft DP-300 certification exam allows job seekers to demonstrate proficiency with next-gen, cloud-based database technologies, and in this <i>Azure Database Administrator Associate (DP-300) Cert Prep</i> series of courses, Adam Wilbert takes you through the key aspects of the exam that you need to know. This third and final course in the series highlights the high availability features of Azure, as and shows how to protect your databases with automated backups.",Course,2025-05-31 06:27 UTC,N/A,false,N/A,
AI Pair Programming with GitHub Copilot,"<p>The future of programming is all about collaboration—humans working with machines to achieve exciting and unimagined results. AI pair programming, which integrates human- and machine-generated code, is a prime example of a tool that alleviates tedious, menial tasks to let developers focus their attention on higher-level concerns. In this course, instructor Ronnie Sheer shows you how to get the most out of GitHub Copilot, one of the most useful and impactful new tools for streamlining software development with AI.
 </p><p>
Get a comprehensive introduction on how to use Copilot to integrate your coding with the latest AI technology. Ronnie goes over the major features of the application, focusing specifically on Python and JavaScript, and using back-end and front-end Copilot tools. By the end of this course, you’ll be prepared to create data models, implement REST APIs, and write tests, client-side code and templates, HTML, CSS, and more.
</p>",Course,2025-07-07 18:33 UTC,N/A,false,N/A,
Practice Exam 2 for AWS Cloud Practitioner (CLF-C02),"<p>This practice exam is intended to help you prepare for the <b>AWS Cloud Practitioner (CLF-C02)</b> certification exam. After you launch the practice exam, there are three practice modes available; timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p><p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-1-for-aws-cloud-practitioner-clf-c02/"" target=""_blank"">Practice Exam 1 for AWS Cloud Practitioner (CLF-C02)</a>
</li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-3-for-aws-cloud-practitioner-clf-c02/"" target=""_blank"">Practice Exam 3 for AWS Cloud Practitioner (CLF-C02)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-4-for-aws-cloud-practitioner-clf-c02"" target=""_blank"">Practice Exam 4 for AWS Cloud Practitioner (CLF-C02)</a></li>
</ul>
<p><b>About the certification</b>: To learn more about this certification, visit <a href=""https://aws.amazon.com/certification/certified-cloud-practitioner/""><b>Amazon Web Services</b></a>.</p>
<p><I>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self-assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</I></p>",Course,2025-02-18 13:49 UTC,N/A,false,N/A,
Learning Computer Security and Internet Safety (2022),"Learn how to safeguard your computer, keep your digital data secure, and protect your privacy online. This beginner's guide to cybersecurity, concentrating on Windows, will help you prevent malware, viruses, and security breaches on your computer and your network. First, instructor Jess Stratton guides you through securing your computer—with antivirus software, firewalls, and encryption—and protecting your wireless network. Then, see how to adjust privacy and security settings in popular web browsers, avoid phishing scams, use public Wi-Fi safely, and enable two-step verification for more-secure logins. Then take steps to bolster your online privacy—including choosing better usernames and turning on Do Not Track requests—as well as the privacy of others, by blurring out sensitive information in photos and emails. By the end of this course, you'll have the tools and knowledge to secure your computer and laptop and keep your information safe online.",Course,2024-05-21 16:38 UTC,N/A,false,N/A,
Practice Exam 4 for CompTIA Security+ (SY0-701),"<p>This practice exam is intended to help you prepare for the <b>CompTIA Security+ (SY0-701)</b> certification exam. After you launch the practice exam, there are three practice modes available: timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p>
<p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-1-for-comptia-security-plus-sy0-701/about-the-practice-exam?u=104"" target=""_blank""> Practice Exam 1 for CompTIA Security+ (SY0-701)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-2-for-comptia-security-plus-sy0-701/about-the-practice-exam?u=104"" target=""_blank"">Practice Exam 2 for CompTIA Security+ (SY0-701)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-3-for-comptia-security-plus-sy0-701/about-the-practice-exam?u=104"" target=""_blank"">Practice Exam 3 for CompTIA Security+ (SY0-701)</a></li>
</ul>
<p><b>About the certification</b>: To learn more about this certification, visit <b><a href=""https://www.comptia.org/certifications/security#examdetail"" target=""_blank"">CompTIA.</a></b></p>
<p>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</p>",Course,N/A,N/A,true,N/A,
Learning Cyber Incident Response and Digital Forensics,"<p>If your organization is the victim of a cyberattack, are you ready to respond? In this course, cybersecurity trainer Jason Dion guides you through the basics of how to conduct an incident response, including how evidence is collected for further digital forensic investigation. Jason explains some fundamentals of digital forensics, like the definition of cybercrime, types of evidence, and best practices. He goes over selecting forensic tools and steps you through conducting a digital forensic investigation. Forensic analysis is also included in a digital forensic investigation, and Jason highlights all the steps you need to take. He also covers crafting and then conducting a cyber incident response. This course serves as an introduction to the field of digital forensics and incident response practices, by providing hands-on demonstrations of various tools and techniques used by real world professionals in the field.</p>
 
<p>This course was created by Jason Dion. We are pleased to host this training in our library.</p>",Course,N/A,N/A,true,N/A,
Expert Tips for Answering Common Interview Questions,"There are certain questions that interviewers volley at nearly all interviewees—regardless of the position or industry—in an attempt to get a read on their personality and potential. Whether you're vying for a gig as an IT specialist or sales manager, you'll likely be asked about your strengths and weaknesses, your leadership style, and other basic professional attributes. In this collection of bite-sized videos, get expert tips that can help you confidently tackle these and other common questions—and, ultimately, ace your next job interview. Plus, get insights on how to dress for your interview, project confidence with your body language, negotiate your salary, and more.",Course,2024-04-29 11:42 UTC,N/A,false,N/A,
CompTIA Security+ (SY0-701) Cert Prep (2024),"CompTIA Security+ is an entry-level certification that requires a thorough understanding of network and device security, risk mitigation strategies, compliance, and more. This course provides CompTIA Security+ candidates with essential information they need to prepare for the qualifying exam. Cybersecurity expert Mike Chapple first goes over some of the basics of the exam, then covers the six domains for the latest version of the exam, SY0-701. He shares study tips that can help you feel prepared to take and pass the test on your first try. Plus, learn where to find practice tests to get hands-on experience and how to keep your certification current by continuing your studies.",Course,N/A,N/A,true,N/A,
GitHub Actions Cert Prep by Microsoft Press,"GitHub Actions makes it easy to automate all your software workflows with world-class CI/CD. Build, test, and deploy your code right from GitHub. This course with instructor Tim Warner imparts the necessary skills and knowledge to understand how your customers can use GitHub Actions to automate their software development workflows. Whether you are a seasoned GitHub Actions user or someone who wants to deeply learn the most important aspects of GitHub Actions, this course is for you. Learn how to author and maintain workflows, consume workflows, author and maintain actions, and manage GitHub actions for the enterprise.",Course,2024-04-03 22:06 UTC,N/A,false,N/A,
Cloud Security Concepts: Services and Compliance,"<p>Understand the basics of cloud security—one of the most critical components of cloud computing. Beginning with the basics, instructor David Linthicum explains the business case for cloud security and provides an overview of the levels and models available, including infrastructure-, application-, and data-level security; identity and risk management; encryption; and multifactor authentication. The course covers the use of generative AI for cloud compliance and the fundamental security services offered by Azure and AWS. It reviews the compliance issues that affect specific industries, such as healthcare, retail, and finance. By the end of this course, you'll have a foundational understanding of the key considerations for identifying your unique security requirements and using the best tools, services, and software to meet those needs. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cloud-strategy-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2024-10-01 08:06 UTC,N/A,false,N/A,
CompTIA Cybersecurity Analyst (CySA+) (CS0-003) Cert Prep,"Earning the CompTIA Cybersecurity Analyst+ (CySA+) certification demonstrates that you know how to address cybersecurity threats using an analytics-based approach. This course serves as a comprehensive, all-in-one resource for anyone preparing for the CS0-003 exam. Join University of Notre Dame professor and cybersecurity expert Mike Chapple as he shows you the skills you need to know to tackle the official exam. Mike starts with an overview and general information about the exam, and then goes into detail through each domain of the certification test.",Course,2025-09-03 11:55 UTC,N/A,false,N/A,
AWS Certified Cloud Practitioner (CLF-C02) Cert Prep: 2 Security and Compliance,"As part of any good IT infrastructure, security plays an important part in creating a stable technical environment. This course covers the topics from the Security and Compliance domain for the AWS Certified Cloud Practitioner (CLF-C02) exam. With cloud computing becoming more relevant to many professionals’ lives, even if tangentially, it's a vital topic to explore. This course, part of a series of courses designed to help prepare you for the AWS Certified Cloud Practitioner exam, provides you with a high-level grasp of the major security services and concepts in AWS. Instructor Hiroko Nishimura—founder of <a href=""https://awsnewbies.com/about/"">AWS Newbies</a>—provides an overview of security in the cloud. She then delves into the different security services available: Identity Access Management (IAM), Shield, Inspector, and more.",Course,2025-02-06 15:20 UTC,2025-02-06 15:16 UTC,true,N/A,
Succeeding in Project Management as an Introvert,"Project management is a growing profession, yet some parts of the job can be intimidating—particularly for introverts. Although project management requires proactive communication, conflict resolution, assertiveness, and other skills more commonly associated with extroverts, introverts can thrive in this role. In fact, some of the classic traits of introverts—empathy, active listening, and observation skills—make them especially well-suited to this growing profession. In this course, veteran project manager and PM coach Anna Lung'aho Anderson explains how you can succeed in project management as an introvert. Anna covers important topics that all project managers must face—leading meetings, communicating with stakeholders, delegating tasks, managing conflict—all from the perspective of an introvert.",Course,2025-03-08 09:26 UTC,N/A,false,N/A,
Hands-On Advanced Python: Data Engineering Basics,"Looking to get up to speed with advanced coding skills in Python? This course was made for you. Join instructor Joe Marini in this hands-on, interactive, skills-first coding course designed for advanced-level Python developers. Explore critical Python coding skills to boost your technical know-how or prepare for an interview to land a new role. This course includes Code Challenges powered by CoderPad: interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Joe helps you develop your skills as a Python programmer with five specific, data-focused coding challenges. Practice parsing and exploring data, working with collections, math and statistics, and more.",Course,2024-03-27 17:33 UTC,N/A,false,N/A,
Building and Auditing a Cybersecurity Program,"If your company has any online presence at all, it should go without saying that you need to devote resources to cybersecurity, as cyber attacks increase and ransomware becomes more commercialized. The goal of this course is to provide a comprehensive methodology with which anyone can use to assess any organization's cybersecurity program, whether you’re an IT or cybersecurity professional, executive, auditor, or a board of directors member. Join cybersecurity professional Michael Ratemo as he teaches you the key elements that make up a cybersecurity program, what to look for when reviewing the various elements, and how to evaluate the effectiveness of the program. Whether you need to build a cybersecurity program from scratch, or understand the state of your organization’s current cybersecurity measures, this course provides valuable information to help you secure your data.",Course,N/A,N/A,true,N/A,
Learning Threat Intelligence,"<p> Threat intelligence is a foundation of cybersecurity—because knowing what you’re defending against helps you focus on the most important things. In this course, Karla Reffold shows how you can easily start and scale a program of cyber threat intelligence so you can avoid wasting resources and instead spend your money on things that actually improve security.
</p><p> 
Join Karla as she shows how businesses can benefit from integrating threat intelligence into their security strategy. Learn how to turn data into actionable intelligence and how to distribute this throughout the business. By understanding who needs what, and how it can be used, you can begin to embed threat intelligence in all areas of your business. Plus, learn how to ask better questions of threat intelligence providers as you gain a greater understanding of the process.",Course,N/A,N/A,true,N/A,
Practical GitHub Copilot,"<p>Copilot—a paid service from GitHub—is revolutionizing the way code is written. According to reports from developers who use it, a vast majority feel more productive and can perform repetitive tasks almost twice as fast. If you're interested in learning how to solve problems with Copilot and become a more efficient developer, join instructor Ray Villalobos in this hands-on course as he shows you not just how to use Copilot to find the best solutions to concrete code problems, but how to make it work best in specific contexts. From setup to navigating the tools to refining the results, Ray demonstrates the practical applications of Copilot’s powerful features.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-github-professional-certificate"">Professional Certificate</a> from GitHub.</p>",Course,2025-02-05 15:47 UTC,2025-02-05 15:43 UTC,false,N/A,
CompTIA Security+ (SY0-701) Cert Prep: 5 Security Program Management and Oversight,"<p>The CompTIA Security+ certification is an excellent entry point for a career in information security. The current version, SY0-701, expands on coverage related to cloud security, security automation and orchestration, cryptography, threat modeling, and security assessment and testing. Instructor Mike Chapple, an IT leader with 20 years of experience, provides you with the detailed information you need to prepare for the Security Program Management and Oversight domain of the exam.</p><p>In this course, part of a multipart series, learn about the core concepts and skills required to manage security policies, security governance, risk analysis, supply chain risk, privacy and compliance, and auditing.</p><p>We are a CompTIA Partner. As such, we are able to offer CompTIA exam vouchers at a 10% discount. For more information on how to obtain this discount, please download <a href=""https://media.licdn.com/media/AAYAAQCwAAoAAQAAAAAAAG3CMmCLXtxNTomv6EtKgcNb7Q.pdf"">these PDF instructions</a>.</p>",Course,2024-05-14 04:58 UTC,N/A,false,N/A,
Artificial Intelligence for Cybersecurity,"Find out how to unleash the power of AI for cybersecurity. Cloud and application security leader Sam Sehgal guides you through using AI, with the needed preparation and guardrails, to solve complex cybersecurity problems. Sam defines artificial intelligence and goes over how to apply AI to cybersecurity. He reviews the disciplines of artificial intelligence, as well as the role of machine learning, and he shows you how to differentiate between discriminative AI and generative AI. Sam details the importance of confidentiality, integrity, and availability in any cybersecurity goal and goes over several cybersecurity gaps and goals. Then he dives into actually solving cybersecurity problems with AI and the myriad ways you can apply machine learning to security.",Course,N/A,N/A,true,N/A,
Cybersecurity Awareness: Protect Your Privacy,"Privacy is an often-overlooked aspect of cybersecurity, but it is a critical piece of your defense to make it harder for bad actors to harm you. In this course, Tate Jarrow teaches the importance of your personal information in your cybersecurity defense, showing you techniques to make it harder for bad actors to find and use your personal information against you. Learn how bad actors find and use your personal information to successfully conduct attacks, and how you can minimize your digital footprint to make it harder for bad actors to do this. Find out how to prevent accidental leaks of your personal information from accounts, apps, and services you use, as well as your personal devices. At the end of the course, you will have easy techniques that can be used to protect you and your families’ personal information, improving your cybersecurity posture.",Course,N/A,N/A,true,N/A,
Public Speaking for Non-Native English Speakers,"Speaking in public isn't easy for most people, and if English isn’t your first or second language, it might be even more challenging. Designed specifically for non-native English speakers, this course provides practical strategies and techniques to increase clarity and confidence when communicating in English. Executive communication coach and professor Dr. Peter Novak embraces linguistic and cultural diversity in the workplace. Instead of focusing on your accent, Dr. Novak encourages you to shift your efforts towards listener-friendly delivery and embrace your multilingual self. He covers strategies to identify and reduce accent bias, plus specific techniques to increase understandability and generate confidence. Dr. Novak presents a step-by-step guide on how to score a script for delivery, so you can focus on making a better connection with the audience. Strengthen your delivery and build your confidence with these easily integrated approaches to public speaking.
<br><br>
Note: This course was created by the Strictly Speaking Group. We are pleased to host this training in our library.",Course,2025-03-09 10:03 UTC,N/A,false,N/A,
AI Governance for Organizations: Applying ISO/IEC 38507:2022,"AI offers unprecedented technology capabilities, but how can you use it effectively, efficiently, and responsibly? In this course, instructor Lyron Andrews demonstrates how to use ISO/IEC 38507:2022 standard as a tool to govern the use of AI at your organization. By the end of this course, you’ll be able to define terms related to AI and governance while understanding the implications and accountability related to its use. Additionally, you’ll be prepared to create and apply policies and decision-making principles that support compliance and risks related to AI governance.",Course,2025-06-07 22:13 UTC,N/A,false,N/A,
Practical GitHub Actions,"<p>For developer professionals, solving problems is a vital part of the job—particularly solving problems that keep coming up. GitHub Actions will let you automate your repetitive problems away, and in this course—created in partnership with GitHub—Ray Villalobos shows you how to set them up to tackle real-world projects. Ray starts with the basics of Actions, going over what you can do with them and how they work. He then shows you the steps necessary to publish a marketplace action, including creating a workflow, a generator repo Dockerfile, entry point, and action.yml file. Finally, Ray takes you through testing and releasing your GitHub Action.
</p><p>If you’re a developer looking to advance your career, or a recent computer science grad searching for a developer role, check out this course to learn practical skills to add your portfolio and enhance your standing in a competitive job market.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-github-professional-certificate"">Professional Certificate</a> from GitHub.</p>",Course,2025-02-05 13:16 UTC,2025-02-05 13:15 UTC,false,N/A,
PHP for WordPress,"Looking to add custom functionality to your WordPress site? In this course, learn what every WordPress developer needs to know to start coding in PHP. Instructor Joe Casabona helps you quickly get up to speed with the popular server-side programming language, explaining just what you need to know to start adding your own custom code. After briefly going over what PHP is, Joe introduces key concepts. Learn about decision-making with conditional statements, creating custom functions, the block and site editor, and how WordPress handles most variables. Along the way, Joe provides challenges that allow you to put your new skills to the test. By the end of this course, you'll be equipped with a basic understanding of PHP and how to use it to make simple modifications in WordPress.",Course,2025-02-04 21:14 UTC,N/A,true,N/A,
"CompTIA Security+ (SY0-601) Cert Prep: 1 Threats, Attacks, and Vulnerabilities","The CompTIA Security+ exam is an excellent entry point for a career in information security. The latest version, SY0-601, expands coverage of cybersecurity threats, risk management, and IoT threats. This course prepares exam candidates for the first domain of the exam, Threats, Attacks, and Vulnerabilities. By learning about malware, networking and application security exploitations, and social engineering, you'll be prepared to answer questions from the exam—and strengthen your own organization's systems and defenses. Instructor Mike Chapple, an IT leader with over 17 years of experience, also covers the processes for discovering and mitigating threats and attacks, automating threat intelligence, scanning for vulnerabilities, and conducting penetration testing.<br><br>We are a CompTIA Partner. As such, we are able to offer CompTIA exam vouchers at a 10% discount. For more information on how to obtain this discount, please download <a href=""https://media.licdn.com/media/AAYAAQCwAAoAAQAAAAAAAG3CMmCLXtxNTomv6EtKgcNb7Q.pdf"" target=""_blank"">these PDF instructions</a>.",Course,N/A,N/A,true,N/A,
Managing Anxiety Triggers with Effective Techniques,"<p>Imagine you are having an anxious moment at work. Instead of letting yourself slip into old patterns of negative thoughts or self-criticisms, you can take a step back and try something new. Maybe move around, go out for lunch, drink some water—just don’t start doom scrolling. Emma Seppala is a lecturer at Yale, and in this course, she details techniques on how to manage anxiety. Emma explains that anxiety is telling you something, and by asking yourself ""what do you need?"" you can reclaim your power and energy. Check out this course to learn how to better deal with anxiety and stop subjecting yourself to self-destructive beliefs and behaviors. 
</p><p> 
This course was created by Morra Aarons-Mele of <i>The Anxious Achiever</i>. We are pleased to offer this insightful discussion in our library.",Course,2025-05-06 06:02 UTC,N/A,false,N/A,
Practical Cybersecurity for IT Professionals,"Learn how to protect your network from cyberattacks through practical, hands-on demonstrations. In this course, Malcolm Shore shows how to use the latest tools to discourage and combat hackers, phishers, and snoops attempting to infiltrate your Windows and Linux systems. Learn what forms cyberattacks can take, as well as the two most common types of protection you can build into your system: Antivirus protection and firewalls. Then, learn how to scan your network for suspicious files, check what services are exposed on your systems, and identify vulnerabilities at the host level with Nessus scans. Malcolm also shows how to combat application-level threats, identify weak points in your web applications,  and monitor packet-level activity on your network.",Course,N/A,N/A,true,N/A,
Windows Server 2022: Implementing Group Policy,"Group Policy is the key to consistent and secure Windows account configuration. It's a major part of Active Directory. Learn how to configure and manage Group Policy in Windows Server 2022 with this course from Windows expert Ed Liberman. Ed covers processing for Group Policy objects, which determines the order in which policies are read and applied, including the default order and exceptions like block inheritance and forced links. He reviews critical settings that every IT admin needs to be able to configure, including administrative template files, folder redirection, and scripts. Then learn how to quickly troubleshoot Group Policy issues and configure passwords and account lockout policies. If you’re looking to gain a thorough understanding of Group Policy and its role in Windows Server administration, check out this course.",Course,2025-05-19 05:53 UTC,N/A,false,N/A,
Deep Dive into Open-Source Intelligence,"If you’ve ever engaged in any sort of internet sleuthing—doing research on a company before an interview, looking up someone on social media before you meet them—then you’ve already engaged in some open-source intelligence, or OSINT. OSINT is, essentially, using publicly available information in an intelligence context. In this course, information security expert Mike Wylie shows how to effectively engage in OSINT, from the value of using it, to methods of gathering information. He covers topics like passive reconnaissance vs. active reconnaissance, methods for tracking organizations and employees, and crafting advanced search queries to find sensitive indexed information.
If you’re conducting any kind of penetration test, OSINT provides a good foundation to get you started.",Course,N/A,N/A,true,N/A,
Reason 12 Essential Training,"Reason is one of the most popular digital audio workstations (DAW) in use today, due to its numerous virtual instruments and creative devices, powerful editing and mixing capabilities, and its ability to use third-party plug-ins. Not only that, many of the devices in the Reason rack exactly emulate their analog counterparts, so you can apply many of the techniques and functionality you learn in reason to tools you’d find in any recording studio. In this course, music producer and sound designer Nate Mars covers everything from the basics of configuring reason to a tour of advanced instruments and sound design. He shows you how to create Reason 12 projects as standalone projects, or as a plug-ins to use with other DAWs. He teaches you how to create and edit MIDI and audio clips, mix and master your own productions, and takes an in-depth look at Reason’s most popular and powerful tool, the Combinator.",Course,2024-11-27 08:30 UTC,N/A,false,N/A,
ISACA Certified Information Systems Auditor (CISA) Cert Prep,"<p>The Certified Information Systems Auditor (CISA) certification enables you to prove your ability to audit an organization's information systems compliance, and this course from Cybrary—a leading cybersecurity professional development platform—puts you on the path to gaining the knowledge you need to pass the exam. Deep dive into the process for auditing information systems. Learn about the government and management of IT. Explore the acquisition, development, and implementations of various information systems. Find out how you can make the best use of information systems operations and business resilience. Plus, review in depth what you’ll need to know about information asset security and control.</p>

<p>This course was created by Cybrary. We are pleased to host this training in our library.</p>",Course,2025-02-06 15:01 UTC,N/A,false,N/A,
Learning Functional Programming with JavaScript ES6+,"Want to write more robust, maintainable code? In this course, discover how this can be accomplished with functional programming, and learn about the functional concepts at the heart of many JavaScript frameworks and programs. Functional programming is a radically different way of writing code. While at first it may seem a bit counterintuitive, once you get comfortable with it, you may find that your code becomes much easier to maintain, as well as more performant. This course aims to teach you everything you need to know to start taking advantage of the incredible power of functional programming in your own code, starting with the basics and going all the way up to more advanced concepts such as recursion, partial application, currying, and more.",Course,2025-01-26 20:26 UTC,N/A,false,N/A,
